a	indef art one
purposeful	 adj. having or showing determinationor will-power; resolute
purposefully	 adv: He strode purposefully into the meeting
purposefulness	 [ purposeful: ] having a definite purpose in view
purposive	relating to, having, or indicating conscious intention
purposively	[ purposive: ] relating to, having, or indicating conscious intention
purposiveness	[ purposive: ] relating to, having, or indicating conscious intention
purse	small bag for money
pursue	follow (sb/sth), esp in order to catch or kill; chase ,
pursuit	~ of sth action of pursuing (pursue
purvey	 v. ~ sth (fml ) provide or supply (esp food, etc) to sb as atrader
purveyance	 the act of supplying something
purveyor	 n. person or firm that supplies goods or services
purview	n. range of operation or activity; scope
push	act of pushing; shove
pushy	adj. (also pushing) adj (infml derog , ) trying constantly to draw attention to oneself and gain an advantage; self-assertive
pusillanimous	adj. cowardly; timid ;
put	move (sth/sb), esp away from oneself, so that it/he is in the specified place or position
putative	 adj. generally supposed to be; reputed
putrefaction	putrefying
putrefy	v. (cause sth to) rot or decay; become or make putrid
putrescent	 adj. inthe process of rotting
putrid	(esp of animal or vegetable matter) that has become rotten; decomposed
putsch	 n. attempt to overthrow a governmentby force; political revolution ;
puttee	 n. long narrow strip of cloth that is wound round the leg from the ankle to the knee for protection and support, esp as part of an army uniform ,
puzzle	questionthat is difficult to understand or answer; mystery
puzzled	[ puzzle: ] to perplex or be perplexed
puzzler	n. person or thing that puzzles
puzzling	 adj. a puzzling statement, affair, attitude
pygmy	Pygmy member of a tribal group of very short people living in equatorial Africa
pyjamas	loose-fitting jacket and trousers worn for sleeping in, esp by men
pylon	tall steel framework used for carrying overhead high-voltage electric cables
pyramid	structure with a flat square or triangular base and sloping sides that meet in a point at the top, esp one of those built of stone by the ancient Egyptians as tombs
pyramidal	adj. having the shape of a pyramid
pyre	 n. large pile of wood, etc for burning a dead body as part of a funeral ceremony
pyromania	n. illness that causes an uncontrollable desire to start fires
pyromaniac	 n. person who suffers from pyromania
pyrotechnic	Pertaining to fireworks or their manufacture.
python	 n. large snake that crushes and kills its prey by twisting itself round it
pyx	n. container in which bread that has been consecrated for Holy Communion is kept
quack	interj, n harsh sound made by a duck
quackery	 n. methods or practices of a quack
quadrangle	plane figurewith four sides, esp a square or rectangle
quadrangular	 adj. having four sides
quadrate	 To divide into quarters.
quadrilateral	n, adj with four sides
quadruped	n. four-footed animal
quadruple	adj. consisting of four parts, individuals or groups
quaff	v. drink (sth) by swallowing large amounts at a time, not taking small sips
quagmire	 n. area of soft wet ground; bog or marsh
quail	n. small bird, similar to a partridge .
quaint	 adj. attractively odd or old-fashioned
quake	shake
qualification	qualifying or becoming qualified
qualified	having completed the relevant training or examination
qualify	v. ~ (sb) (for/as sth) have or give (sb) the qualities, training, etc that are necessary or suitable (for sth)
qualitative	adj. of or concerned with quality
qualitatively	adv.
quality	degree of goodness or worth
qualm	n. feeling of doubt, esp about whether what one is doing is right; misgiving
qualms	 [ qualm: ] a sudden feeling of sickness or nausea
quandary	 n. state of not being able to decide what to do; awkward or difficult situation
quantifiable	 adj.
quantify	 v. express or measure the quantity of (sth)
quantitative	 adj. of or concerned with quantity
quantity	that which makes it possible to measure things through having number, size, weight, etc
quantum	n. (fml ) amount that is required or desired
quarantine	 n. isolation for people or animals that may carry an infectious disease, until it is known that there is no danger of the disease being passed on to others
quarrel	~ (about/over sth) angry argument or disagreement
quarrelsome	adj. likely to start a quarrel; quick-tempered ;
quarry	 n. animal or bird that is being hunted
quart	measure of capacity for liquids, equal to
quarter	each of four equal or corresponding parts of sth
quarterly	adj. adv produced or occurring once every three months
quartet	four players or singers
quarto	4to, qto) size of page made by folding a standard sheet of paper twice to form eight pages
quartz	 n. any of various types of hard mineral
quash	reject (by legal procedure) as not valid; declare (sth) not to be enforceable by law
quaver	shake; tremble
quavery	adj. shaking; tremulous
quay	 n. landing-place, usu built of stone or iron, for loading and unloading ships
queasy	 adj. having a tendency to feel sick; feeling sick
queen	female ruler of an independent state, usu inheriting the position by right of birth
queer	different from what is expected; strange, esp in an unpleasant way
quell	v. put an end to (sth); suppress
quench	extinguish (fire, flames, etc), esp with water
quenched	 [ quench: ] to satisfy (one's thirst, desires, etc.); slake
querulous	adj. complaining; irritable
query	question
quest	~ (for sth) act of seeking sth; search or pursuit
question	form of expression in speech or writing that requests an answer from sb
questionable	 adj. that can be doubted; not certainly true or advisable or honest
questioning	proceeding from or characterized by a feeling of doubt or uncertainty
questionnaire	n. writtenor printed list of questions to be answered by a number of people, esp to collect statistics or as part of a survey
queue	line of people, vehicles, etc waiting for sth or to do sth
quibble	objection or criticism, esp atrivial one
quick	(capable of) moving fast or doing sth in a short time
quicken	become quicker
quickie	n. thing that is made or done very quickly
quickly	adv: speak, write, run, learn very quickly
quicksilver	n. = mercury
quick-witted	 adj. able to think quickly; intelligent ;
quiescence	 Quiet.
quiescent	adj. inactive; passive; quiet
quiet	with little or no sound; not noisy or loud
quietly	adv: This car engine runs very quietly. * She died quietly in her bed
quietude	 n. stillness; calm ;
quietus	n. (fml ) release from life; extinction
quill	(also `quill-feather) large feather from the wing or tail .
quilt	n. thick covering for a bed, made of cloth padded with soft material
quintessence	essential part of (a theory, speech, condition, etc)
quintet	n. five players or singers
quintuplet	 n. any of five children born to the same mother at one birth
quip	 n. witty or sarcastic remark
quirk	habit or action that is peculiar to sb/sth
quirkiness	 [ quirk: ] an individual peculiarity of character; mannerism or foible
quirky	 [ quirk: ] an individual peculiarity of character; mannerism or foible
quisling	 n. traitor, esp one who helps an enemy occupying his country ,
quit	go away from (a place); leave
quite	(used esp with adjs or advs that refer to a gradable quality ) to some extent; not very; fairly
quitter	n. person who does not finish a task he has started, esp one that is done as a duty
quiver	 v. tremble slightly or vibrate
quixotic	 adj. noble, unselfish or gallant in an extravagant or impractical way
quiz	 n. competition, esp on TV or radio, in which people try to answer questions to test their knowledge
quizzical	adj. in a questioning manner, esp when amused
quizzically	adv: She looked at me quizzically
quorum	 n. minimum number of people who must be present at a meeting (of a committee, etc) before it can proceed and its decisions, etc can be considered valid
quota	fixed share that must be done or contributed or received
quotation	quoting or being quoted
quote	~ (from sb/sth) repeat in speech or writing (words previously said or written by another person)
quotidian	adj. everyday; commonplace
rabbit	small burrowing animal of the hare family with long ears and a short furry tail
rabbity	adj. like a rabbit in appearance, smell or taste
rabble	disorderly crowd; mob ;
rabid	suffering from rabies
rabies	 n. fatal virus disease causing madness in dogs, foxes and other animals, transmitted to humans usu by a bite ,
race	~ ~ (between A and B) contest of speed between runners, horses, vehicles, etc to see which reaches a certain place first, or does sth first
racial	 adj. characteristic of race3(1a); due to or resulting from race
racially	 adv: a racially diverse community
raciness	 => racy
racing	 n. hobby, sport or profession of competing in horse or vehicle races
racism	 n. =racialism
racist	 n, adj =racialist
rack	framework, usu with bars or pegs, for holding things or for hanging things on
racket	.
racketeer	n. personinvolved in or controlling a racket2(2)
rackety	adj. noisy
raconteur	n. person who tells stories skilfully and wittily
racy	(of speech, writing, etc) lively or spirited; vivid
radar	n. system for detecting the presence, position or movement of solid objects within its range by sending out short radio waves which they reflect
radial	 adj. of or arranged like rays or radii; having bars, lines, etc that radiate from a central point
radiance	 n. quality of being radiant(1
radiant	sending out rays of light; shining brightly
radiate	send out rays of (light or heat)
radiation	(the sending out of) heat, energy, etc in the form of rays
radiator	apparatus for radiating heat into rooms, etc, esp a metal casing through which hot water or steam is circulated
radical	of or from the root or base; fundamental
radicalism	 n. radical(3) ideas and principles
radically	adv: radically altered, improved, etc
radii	pl of radius
radio	process of sending and receiving messages, etc by electromagnetic waves without a connecting wire
radioactive	adj. having atoms that break up and send out radiation which canpenetrate opaque bodies and sometimes produce harmfulelectrical effects
radioactivity	n.
radiocarbon	a radioactive isotope of carbon, esp. carbon-14
radish	 n. plant with a crisp hot-tasting root
radium	 n. chemical element, a shining white radioactive metal used in the treatment of some diseases, eg cancer
radius	(length of a) straight line from the centre of a circle or sphere to any point on its circumference or surface .
radix	That from or on which something is developed.
raffish	adj. flashy or slightly disreputable; rakish
raffle	 n. lottery with an article as the prize
raft	 n. flat floating structure of logs, barrels, etc tied together, used esp as a substitute for a boat
rafter	 n. any of the parallel sloping beams supporting the tiles, slates, etc of a roof
raftered	 adj. having rafters, esp ones that are exposed, eg because there is no ceiling
rag	odd cloth, usu torn, frayed, etc
ragamuffin	 n. person, esp a small boy, in dirty untidy clothes
rage	(fit of) violent anger
ragged	(of clothes) badly worn or in rags; tattered
ragtime	n. type of popular 19
raid	sudden surprise attack and withdrawal by troops, ships or aircraft
rail	level or sloping bar or connected series of bars of wood or metal, eg forming part of a fence, the top of a banister, a protective barrier, etc
railhead	 n. furthest point reached by a railway that is being built
raillery	 n. good-humoured mockery or ridicule
railroad	 n. railway . v (phr v) railroad sb into (doing) sth (infml ) force sb to do sth
railway	track with rails (rail1
raiment	n. clothing
rain	condensed moisture of the atmosphere falling as separate drops; fall of these drops
rainbow	n. arch containing the colours of the spectrum, formed in the sky when the sun shines through rain or spray
raincoat	 n. light waterproof or water-resistant coat
rainfall	 n. total amount of rain falling within a given area in a given time
rainy	(of a day, period, etc) on or in which much rain falls; (of sky, weather, etc) bringing much rain
raise	lift or move (sth) to a higher level; cause to rise
raisin	 n. dried sweet grape, used in cakes, puddings, etc
rake	long-handled tool with a row of prongs at the end for drawing together fallen leaves, smoothing soil, etc
rakish	of or like a rake
rally	v. ~ (round/to sb/sth); ~ (round) (of people) come together, esp to make new efforts, eg after a defeat or when there is danger, need, etc
ram	uncastrated male sheep .
ramble	walk for pleasure with no special destination
rambler	person who rambles
rambling	extending in various directions irregularly
rambunctious	 adj. =rumbustious
ramification	 n. part of a complex structure; secondary consequence, esp one that complicates
ramify	 v. (fml ) (cause sth to) branch out in many directions; make or become a network
ramose	 Branch-like.
ramp	slope joining two levels of ground, a floor, a road, etc
rampage	v. rush around wildly or violently
rampant	flourishing excessively; unrestrained
rampart	defensive wall round a fort, etc consisting of a wide bank of earth with a path for walking along the top
ramshackle	 adj. almost collapsing
ran	pt of run1
ranch	n. large farm, esp in the US or Canada, where cattle are bred; similar farm producing crops, fruit, chickens, etc
rancher	n. person who owns, manages or works on a ranch
rancid	tasting or smelling bad because of staleness
rancor	 bitter deep-seated ill will
rancorous	feeling bitterness, spitefulness
random	 adj. done, chosen, etc without method or conscious choice; haphazard
randomize	to set up (a selection process, sample, etc.) in a deliberately random way in order to enhance the statistical validity of any results obtained
randomly	 adv: people randomly chosen, eg to carry out a survey
randomness	 [ random: ] lacking any definite plan or prearranged order; haphazard
randy	esp Brit) sexually excited; lustful
range	connected line or row of mountains, hills, etc
ranger	(Brit) keeper of a royal park, estate, etc who enforces forest laws
rank	position in a scale of responsibility, quality, social status, etc
rankle	 v. cause lasting bitterness or resentment
ransack	~ sth search (a place) thoroughly
ransom	release of a captive in return for money, etc demanded by his captors
rant	speak loudly, violently or theatrically
rap	quick sharp blow or knock
rapacious	greedy, esp for money; grasping
rapacity	 n. greed; desire to rob and plunder ;
rapid	moving or acting with great speed; fast
rapidity	 n.
rapidly	adv.
rapids	 n. swift current in a river caused by a steep downward slope in the river bed
rapine	 n. act of seizing property by force; plundering
rapport	n. ~ sympathetic and harmonious relationship
rapprochement	n. ~ (with sb/between A and B) renewal of friendly relations, esp between countries
rapscallion	n. rascal; rogue ;
rapt	 adj. ~ so intent or absorbed that one is unaware of other things; spellbound
raptorial	Seizing and devouring living prey.
rapture	intense delight
rapturous	adj. causing or expressing rapture
rare	not often happening or seen, etc; unusual
rarefaction	rarefication
rarefied	less dense than is normal; thin
rarefy	 v. (cause sth to) become thinner or less dense
rarely	 adv. not often; seldom
raring	~ to do sth so eager or willing to do sth that restraint is difficult
rarity	rareness
rascal	dishonest person
rash	patch of tiny red spots on the skin
rashness	 n.
rasp	coarse file with rows of sharp points on its surface
raspy	adj. rough; grating
rat	rodent that looks like, but is larger than, a mouse .
ratchet	device consisting of a toothed wheel or bar with a catch that fits between the teeth allowing movement in one direction only
rate	standard of reckoning obtained by expressing the quantity or amount of one thing in relation to another
rather	to a certain extent; fairly ; . (used before adjs and advs )
ratification	 n. ratifying or being ratified
ratify	 v. make (an agreement, a treaty, etc) officially valid, usu by signing it
rating	 n. classification or ranking of sb/sth according to quality, etc
ratio	n. relation between two amounts determined by the number of times one contains the other
ratiocination	n. process of logical and methodical reasoning
ration	fixed quantity, esp an official allowance of food, etc in times of shortage
rational	able to reason
rationale	n. fundamental reason for or logical basis of sth
rationalism	n. practiceof testing all religious belief and knowledge by reason and logic
rationalist	adj. n person practising rationalism
rationalistic	adj. of rationalism or rationalists
rationality	n. quality of being rational; reasonableness ;
rationalization	[ rationalize: ] to justify (one's actions, esp. discreditable actions, or beliefs) with plausible reasons, esp. after the event
rationalize	to provide plausible but untrue reasons for conduct
rattle	make short sharp sounds quickly, one after the other; (cause sth to) shake while making such sounds
rattlesnake	n. poisonous American snake that makes a rattling noise with its tail when alarmed or threatened
rattling	 adj. fast or brisk
raucous	adj. loud and hoarse; harsh-sounding
raunchy	adj. having or showing sexual desire; coarse or obscene
ravage	damage badly; destroy
rave	~ talk wildly or furiously as if in a fever or mad
ravel	~ (sth) (up) (cause threads or fibres to) tangle and become knotted
raven	n. large bird like a crow with glossy black feathers and a hoarse cry
ravening	 adj. hungrily seeking prey or food
ravenous	very hungry
ravine	 n. deep narrow steep-sided valley between mountains
ravish	fill with delight; enchant
ravishing	adj. delightful or enchanting; lovely
ravishment	to give great delight to; enrapture
raw	uncooked
rawhide	n. untanned leather
ray	narrow beam or line of light or other radiation, eg energy or heat
raze	 to destroy to the ground:DEMOLISH
razor	n. instrument with a sharp blade, or with electrically-driven revolving cutters, used for shaving hair from the skin
razzle	 n. be/go (out) on the razzle (infml ) be/go out to celebrate and enjoy oneself; be/go on a spree ;
razzle-dazzle	razzmatazz
reach	~ for sth; ~ out stretch out (one's hand) in order to touch, grasp or take sth
reachable	adj. that can be reached
react	~ behave differently or change as a result of sth; respond
reactant	 n. substance taking part in a chemical reaction
reaction	~ response to a situation, an act, an influence, etc
reactionary	n, adj opposing (esp political) progress or reform
reactivate	 v. bring back into operation; make active again
reactive	 readily partaking in chemical reactions
reactiveness	 [ reactive: ] readily partaking in chemical reactions
reactor	apparatus for the controlled production of nuclear energy
read	 v. (used in the simple tenses or with can/be able , can/be able) (be able to) understand the meaning of (written or printed words or symbols)
readable	that can be read easily or enjoyably
reader	person who reads, esp one who is fond of reading
readily	without hesitation; willingly
reading	action of a person who reads
ready	~ (for sth/to do sth) in a fit state for immediate use or action; fully prepared or completed
reaffirm	 v. state positively again; affirm again
reagent	n. substance used to cause a chemical reaction, esp to detect another substance
real	existing as a thing or occurring as a fact; not imagined or supposed
realign	bring into a new or former arrangement; align again
realism	attitudes and behaviour based on the acceptance of facts and the rejection of sentiment and illusion
realist	writer, painter, etc whose work shows realism(
realistic	showing realism(
reality	quality of being real or of resembling an original
realization	[ realize: ] to become conscious or aware of (something)
realization,realisation 
	realization,realisation 
realize	to become conscious or aware of (something)
really	in reality; truly
realm	kingdom
ream	516
reap	cut and gather as harvest
reaper	person who reaps
reappear	 v. appear again
reappearance	 n.
rear	the back part
rearrange	place in a different way or order
reason	 n. ~ (to do sth); ~ (why.../that...) (fact put forward as or serving as the) cause of, motive for or justification for sth
reasonable	(of people) ready to use or listen to reason; sensible
reasonableness	 n.
reasonably	in a reasonable way
reasoning	n. act or process of using one's reason1(
reassurance	reassuring or being reassured
reassure	 v. ~ sb remove sb's fears or doubts; make sb confident again
reassuring	 adj. that reassures
rebarbative	serving or tending to repel
rebate	 n. amount by which a debt, tax, etc can be reduced; discount or partial refund
rebel	n. person who fights against, or refuses to serve, the established government
rebellion	open (esp armed) resistance to the established government; resistance to authority or control
rebellious	 adj. showing a desire to rebel; not easily controlled
rebelliousness	 n.
rebellow	(archaic or literary)
rebound	~ spring or bounce back after hitting sth
rebuff	 n. unkind or contemptuous refusal or rejection (of an offer, request, friendly gesture, etc); snub
rebuild	v. build or put (sth) together again
rebuke	 v. ~ sb express sharp or severe disapproval to sb, esp officially; reprove sb
rebus	n. puzzle in which a word or phrase has to be guessed from pictures or diagrams representing the letters or syllables in it
rebut	;
rebuttal	act of rebutting or being rebutted
recalcitrance	n. quality of being recalcitrant
recalcitrant	 adj. resisting authority or discipline; disobedient
recall	~ sb (from...) (to...) order sb to return (from a place)
recant	 v. formally reject (a former opinion, belief, etc) as being wrong
recantation	recanting
recapitulate	 v. state again or summarize the main points of
recapture	capture again
recast	~ sth (as sth) put (sth written or spoken) into a new form
recede	~ (seem to) move back from a previous position or away from an observer
receipt	~ (fml ) act of receiving or being received
receivable	 adj. (commerce ) (of bills, accounts, etc) for which money has not yet been received
receive	~ sth (from sb/sth) get, accept or take (sth sent, given, etc)
receiver	person who receives sth
recent	 adj. not long ago or before
recently	 adv. not long ago or before; lately
receptacle	 n. container,space, etc for placing or storing sth
reception	action of receiving or being received
receptive	adj. ~ able or quick to receive new ideas, suggestions, etc
receptiveness	[ receptive: ] able to apprehend quickly
receptivity	[ receptive: ] able to apprehend quickly
receptor	a sensory nerve ending that changes specific stimuli into nerve impulses
recess	(US also vacation) period of time when work or business is stopped, esp in Parliament, the lawcourts, etc
recession	temporary decline in economic activity or prosperity
recessionary	of a slowing of economic activity
recessive	(of characteristics inherited from a parent, such as the colour of the eyes or of the hair) not appearing in a child but remaining hidden because of the presence of stronger characteristics ,
recherche	(usuderog ) much too studied or refined; affected
recidivism	especially :relapse into criminal behavior
recidivist	 n. person who commitscrimes repeatedly and seems unable to be cured of criminal tendencies; persistent offender ;
recipe	~ set of instructions for preparing a food dish, including the ingredients required
recipient	n. ~ person who receives sth
reciprocal	 adj. given and received in return; mutual
reciprocally	 adv.
reciprocate	give and receive (sth) in return; exchange (sth) mutually ;
reciprocated	 [ reciprocate: ] to give or feel in return
reciprocation	a mutual exchange
reciprocity	n. principleor practice of mutual exchange, esp of making concessions or granting privileges, etc in return for concessions or privileges received
recital	public performance of music, dance, etc by a soloist or a small group
recitalist	 [ recital: ] a musical performance by a soloist or soloists
recitation	public delivery of passages of prose or poetry learnt by heart
recite	~ (to sb) say (a poem, passage, etc) aloud from memory, esp to an audience
reck	 To have a care or thought for.
reckless	 adj. ~ (of people or their actions) not thinking of the consequences or of danger; rash or impulsive
recklessness	 n.
reckon	~ sb/sth among sth; ~ sb/sth as sth (not used in the continuous tenses ) be of the opinion or consider that sb/sth is as specified
reckoning	calculation; estimation
reclaim	~ sth recover possession of sth
recline	lean or lie back in a horizontal or near-horizontal position
recluse	n. person who lives alone and avoids other people
reclusive	[ recluse: ] a person who lives in seclusion
recognition	recognizing or being recognized
recognizable	 [ recognize: ] to perceive (a person, creature, or thing) to be the same as or belong to the same class as something previously seen or known; know again
recognizance	 An acknowledgment entered into before a court with condition to do some particular act.
recognize	To recall the identity of (a person or thing).
recognize,recognise 
	recognize,recognise 
recognized	 [ recognize: ] to perceive (a person, creature, or thing) to be the same as or belong to the same class as something previously seen or known; know again
recoil	~ ~ (at sth) draw oneself back in fear, disgust, etc
recollect	v. succeed in calling back to the mind; remember
recollection	ability to recollect; action of recollecting
recombinant	produced by the combining of genetic material from more than one origin
recommend	~ sb/sth (to sb) (for sth/as sth) praise sth as suitable for a purpose; praise sb as suitable for a post, etc; speak favourably of sb/sth ;
recommendable	adj. a highly recommendable film, restaurant, camping site
recommendation	action of recommending
recompense	 v. ~ sb (fml ) reward sb (for his work, efforts, etc); compensate sb (for his losses, etc)
recompose	to restore to composure or calmness
reconcile	to make consistent or congruous
reconciled	to make (oneself or another) no longer opposed; cause to acquiesce in something unpleasant
reconciliation	reconciling or being reconciled
recondite	(of subjects) little known or understood; obscure
recondition	v. repair and put it into good condition again; overhaul or restore
reconnaissance	 n. exploration or a survey of an area, esp for military purposes
reconnoiter	To make a preliminary examination of for military, surveying, or geological purposes.
reconnoitre	v. explore or survey
reconsider	 v. consider again, esp to change an earlier opinion,decision, etc
reconstitute	restore to its original state, eg by adding water
reconstruct	construct or build again, eg after damage ,
reconstruction	reconstructing or being reconstructed
record	~ permanent account, esp in writing, of facts, events, etc
recorder	apparatus for recording sound or pictures, or both
record-holder	n. person holding a sports record
recording	action of preserving sound or images on magnetic tape, etc
recount	v. ~ sth give a detailed account of sth; tell about sth
recoup	 v. ~ sb/oneself for sth get back give sb/oneself back (what has been spent, lost, etc)
recourse	possible source of help, eg in an emergency
recover	~ sth find again (sth stolen, lost, etc); regain possession of sth
recoverable	adj. that can be recovered
recovery	~ recovering (recover 1) or being recovered
recreant	 n, adj (person who is) cowardly, unfaithful or treacherous
recreate	 To refresh after labor.
recreation	 n. refreshing or entertaining oneself after work; relaxation
recreational	 adj. of or for recreation
recriminate	v. ~ (fml ) accuse or blame (sb by whom one has been accused or blamed)
recrimination	n. accusation in response to an accusation from sb else; countercharge
recriminatory	adj. of recrimination
recrudescence	n. new outburst; recurrence
recrudescent	 Becoming raw or sore again.
recruit	person who has just joined the armed forces or police and is not yet trained
rectangle	n. four-sided geometricfigure with four right angles, esp one with unequal adjacent sides ; .
rectangular	adj. having the shape of a rectangle
rectification	rectifying or being rectified
rectify	put (sth) right; correct
rectitude	n. moral correctness or straightforwardness; honesty
recumbent	adj. (esp of a person) lying down; reclining
recuperate	~ (fml ) recover from illness, exhaustion or loss, etc
recuperation	 n. recuperating
recuperative	 adj. of or aiding recuperation
recur	happen again; happen repeatedly
recurrence	 n. recurring; repetition
recurrent	adj. recurring often or regularly
recurring	[ recur: ] to happen again, esp. at regular intervals
recusant	 n. Roman Catholic who refused to attend Anglican services as required by law
recycle	v. treat (used material) so that it can be used again
red	of the colour of fresh blood or a similar colour
reddish	adj. rather red
redeem	~ sth (from sb/sth) buy back sth by paying the required sum; recover sth
redeemable	 adj. that can be redeemed
redemption	redeeming or being redeemed
redemptive	 adj. of redemption; serving to redeem
redirect	 v. = readdress
redistribute	 v. giveout in a different way
redistribution	 n.
redolence	Smelling sweet and agreeable.
redolent	smelling strongly of sth
redoubtable	adj. to be feared and respected; formidable
redound	v. redound on sb/sth (fml ) come back on sb/sth; rebound or recoil on sb/sth
redress	put right (a wrong); compensate for (sth)
reduce	~ sth (to/by sb) make sth smaller in size, number, degree, price, etc
reducible	adj. ~ that can be reduced
reduction	reducing or being reduced
reductive	[ reduction: ] the act or process or an instance of reducing
redundancy	state of being redundant(2)
redundant	not needed; superfluous; unnecessary
reed	(tall hollow stem of) any of various types of grass-like plants growing near water
reediness	n. state of being reedy
reedy	having many reeds (reed 1)
reef	 n. part of the top or bottom of a sail that can be rolled or folded to reduce the area exposed to the wind
reek	strong bad smell
reel	cylinder, roller or similarly shaped object on which thread, wire, fishing line, photographic film, magnetic tape, etc is wound
refectory	,
refer	~ to sb/sth mention or speak of sb/sth; allude to sb/sth
referable	adj. ~ that can be referred (refer 3) to sb/sth
referee	.
reference	~ act of referring (refer 1a) to sb/sth
referendum	 n. referring of a political issue to a general vote by all the people of a country for a decision; vote thus taken
referent	 the object or idea to which a word or phrase refers
refine	remove impurities from (sth); purify
refined	cultured or elegant; free from what is coarse or vulgar
refinement	refining or being refined
refinery	 n. factory, etc where sth is refined
reflect	to undergo or cause to undergo a process in which light, other electromagnetic radiation, sound, particles, etc., are thrown back after impinging on a surface
reflectance	reflection factor
reflection	 The throwing off or back of light, heat, sound, or any form of energy that travels in waves.
reflective	thoughtful
reflectivity	a measure of the ability of a surface to reflect radiation, equal to the reflectance of a layer of material sufficiently thick for the reflectance not to depend on the thickness
reflector	thing that reflects heat, light or sound
reflexion	= reflection
reform	 v. become or make better by removing or putting right faults, errors, etc
reformed	 of or designating a Protestant Church, esp. the Calvinist as distinct from the Lutheran
reformer	 n. person who brings about or advocates reform
refract	v. bend where it enters eg water or glass at an oblique angle from a medium of different density
refracted	[ refract: ] to cause to undergo refraction
refraction	 n. refracting or being refracted .
refractory	difficult to control or discipline; wilful or unmanageable
refrain	lines of a song or poem which are repeated, esp at the end of each verse
refresh	v. give new strength or vigour to (sb/sth); restore or revive
refreshing	giving new strength or vigour; restoring or reviving
refreshment	refreshing or being refreshed
refrigerator	 n. cabinet or room in which food is kept cold
refuge	~ (place giving) shelter or protection from danger, trouble, pursuit, etc
refugee	n. person who has been forced to leave his country, home, etc and seek refuge, esp from political or religious persecution
refulgence	 the quality of being bright and sending out rays of light
refulgent	adj. gloriously bright; shining ;
refurbish	v. make clean or bright again; redecorate
refusal	refusing or being refused
refuse	 n. waste or worthless material; rubbish
refutable	adj. that can be refuted
refutation	refuting or being refuted
refute	 v. prove to be wrong
regain	get back again after losing it; recover
regal	adj. of, like or fit for a king or queen; royal
regale	 v. ~ sb with sth amuse or entertain sb (with stories, jokes, etc)
regality	 Royalty.
regard	look steadily at (sb/sth) in the specified way
regarding	prep with reference to (sb/sth); concerning
regardless	 adv. paying no attention to sb/sth
regardless of	prep. paying no attention to (sb/sth);heedless of
regatta	n. sporting event at which races are held between rowing-boats or yachts
regenerate	give fresh strength or life to (sb/sth); restore
regeneration	 spiritual rebirth
regenerative	 adj. enjoy the regenerative powers of sea air
regent	 n. person appointed to rule a country while the monarch is too young, old, ill, etc, or is absent
regicide	crime of killing a king
regime	method or system of government
regimen	n. set of rules about diet, exercise, etc aimed at improving sb's health and physical well-being
regiment	(artillery and armour) unit divided into batteries or squadrons
regimental	 adj. of a regiment
regimentation	the imposition of order or discipline
region	part of a surface or bodyor space with or without definite boundaries or characteristicfeatures
register	official list or record of names, items, attendances, etc
regnant	Exercising royal authority in one's own right.
regress	v. ~ (fml ) return to an earlier or less advanced form or state
regression	 n. regressing
regressive	 adj. regressing or tending to regress
regret	 n. feeling of sadness at the loss of sb/sth; feeling of annoyance, disappointment or repentance
regretful	adj. feeling or expressing regret
regrettable	adj. that is or should be regretted
regular	happening, coming or done repeatedly at times or places which are the same distance apart
regularity	 n. state of being regular
regularize	 to make regular; cause to conform
regularly	at regular intervals or times
regulate	control or direct by means of rules and restrictions
regulated	[ regulate: ] to adjust (the amount of heat, sound, etc., of something) as required; control
regulation	regulating or being regulated; control
regurgitate	bring (swallowed food) up into the mouth again
rehabilitate	restore to a normal life by retraining, medical treatment, etc, esp after imprisonment or illness
rehabilitation	 n. rehabilitating or being rehabilitated
rehabilitative	 [ rehabilitate: ] to help (a person who has acquired a disability or addiction or who has just been released from prison) to readapt to society or a new job, as by vocational guidance, retraining, or therapy
rehash	 v. ~ sth (infml derog , ) put (ideas, material, etc) into a new form with no great change or improvement
rehearsal	rehearsing
rehearse	practise(a play, piece of music, etc) for public performance
reign	n. rule of a king or queen
reimburse	v. ~ sth ~ sb (for sth) (usu fml ) pay back to sb (money that he has spent, lost, etc); refund sth
reimbursement	n. repayment
rein	long narrow strap fastened to the bit of a bridle and used to guide and control a horse
reincarnate	incarnate anew ; having a new body
reincarnation	n. belief that the soul enters a new (human or animal) body after death
reinforce	make stronger by adding material, etc
reinforcement	reinforcing or being reinforced
reinstate	v. ~ sb restore sb to a previous (esp important) position
reiterate	v. say or do (sth) again or repeatedly
reiteration	n. reiterating or being reiterated
reject	refuse to accept
rejection	n. rejecting or being rejected
rejoice	~ (fml ) feel or show great joy ; rejoice over a victor
rejoicing	happiness; joy ;
rejoin	join again; be reunited with
rejoinder	n. what is said in reply; retort
rejuvenate	 v. restore youthful appearance, strength, etc to
rejuvenated	[ rejuvenate: ] to give new youth, restored vitality, or youthful appearance to
rejuvenation	 becoming young in nature or appearence
rejuvenescence	 A renewal of youth.
rekindle	 v. light again
relapse	v. ~ fall back into a previous condition or a worse state after making an improvement
relate	~ sth (fml ) give an account of (facts, experiences, etc); tell (a story, etc)
related	connected or associated with sb/sth
relation	~ ~ (to sth) way in which one person or thing is related to another; similarity, contrast or connection between people, things or events
relationship	 n. ~ (of A to/with B) state of being connected
relative	~ considered in relation or proportion to sb/sth else; comparative
